,precision,recall,f1-score,support
0,1.0,0.9722222222222222,0.9859154929577465,36.0
1,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0
2,1.0,1.0,1.0,35.0
3,1.0,1.0,1.0,37.0
4,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
5,1.0,1.0,1.0,37.0
6,0.9722222222222222,0.9722222222222222,0.9722222222222222,36.0
7,0.972972972972973,1.0,0.9863013698630136,36.0
8,0.9411764705882353,0.9142857142857143,0.927536231884058,35.0
9,1.0,0.9722222222222222,0.9859154929577465,36.0
accuracy,0.975,0.975,0.975,0.975
macro avg,0.9751236530648295,0.9747619047619047,0.9748301768788895,360.0
weighted avg,0.9752870517576401,0.975,0.975031465123656,360.0
