feature,importance
numeric__G1,0.23793342208148843
numeric__G2,0.20814545761407952
numeric__failures,0.05957930920829573
categorical__school_GP,0.03786960483413709
categorical__school_MS,0.035502496858998055
categorical__higher_no,0.02756225118820641
categorical__higher_yes,0.025222881016636754
numeric__absences,0.022093268050663768
numeric__Walc,0.019635830007254197
numeric__Medu,0.019069296243909125
numeric__freetime,0.01848437642453375
numeric__goout,0.01825158635711852
numeric__famrel,0.01800878829953287
numeric__Fedu,0.017534238956240223
numeric__age,0.014634869112278164
numeric__Dalc,0.013809280691777424
numeric__studytime,0.013494263830320017
numeric__health,0.009909047809947693
numeric__traveltime,0.008750985585208178
categorical__reason_reputation,0.007911975102121712
categorical__guardian_mother,0.007439233127726342
categorical__address_U,0.007209590297122819
categorical__Fjob_services,0.0069533060169001655
categorical__Mjob_at_home,0.006607933960879479
categorical__guardian_father,0.006565935335609587
categorical__reason_course,0.006454316246310424
categorical__address_R,0.0061582566306317
categorical__famsize_GT3,0.00614406166908195
categorical__sex_F,0.006022742447977909
categorical__Fjob_other,0.005616487280719135
categorical__reason_home,0.005549282964336059
categorical__Mjob_other,0.005430364760682616
categorical__famsize_LE3,0.0054022844653668425
categorical__romantic_no,0.005341978534705673
categorical__romantic_yes,0.004993141226629176
categorical__internet_no,0.004919345864616815
categorical__activities_no,0.004861615660487967
categorical__internet_yes,0.004754564406603195
categorical__activities_yes,0.004686167132919524
categorical__sex_M,0.004431726536946202
categorical__famsup_no,0.004207716858905673
categorical__schoolsup_yes,0.004029535239802484
categorical__famsup_yes,0.003970991975913622
categorical__reason_other,0.0038889420401633967
categorical__Mjob_services,0.0037503172451734002
categorical__Mjob_teacher,0.0037438578113281433
categorical__nursery_no,0.003463986599912947
categorical__nursery_yes,0.003436132521958081
categorical__schoolsup_no,0.003411885732566583
categorical__Fjob_at_home,0.003111278130154237
categorical__paid_yes,0.002485097974100133
categorical__paid_no,0.0024268913609820945
categorical__Pstatus_T,0.0023026891715456433
categorical__Mjob_health,0.0022714422124434056
categorical__guardian_other,0.0017799275004195053
categorical__Pstatus_A,0.0017341146614443814
categorical__Fjob_teacher,0.0007393924592713598
categorical__Fjob_health,0.000300236664913713
